nameEn,nameKo,descriptionEn,descriptionKo,type,categoryEn,categoryKo,videoId,participants,conferenceYear,imageIdx,imageCnt
Doing Just Fine,별일 없이 산다,"The question ‘photography is illusion or truth’ is started with doubts about our own body and existence. What we see, hear, touch, and feel...are they all truly exist? This is the reason why I had to focus on body, the bowl of soul and ego. I took photographs of my Mom. My Mom dosen’t have left breast, because of breast cancer surgery.
‘gone, possible to impair, fall apart.’ Injury of body provoke a injury of mind. Still, she keeps scrub a floor, hung the laundry, watching TV, and cook. Pictures of her and pictures of people who doing just fine hang together on the wall. People Idle away their time...are they? We used to think photograph is a document of truth. Artist pose a question on this proposition.","사진이 환상인가 진실인가 라는 질문은 우리의 몸, 혹은 존재에 대한 의심과 함께 시작된다. 우리가 보고, 듣고, 만지고, 느끼는 이 모든 것들은 과연 실제로 존재하는가? 생명/존재/몸성/에너지, 혹은 영혼과 자아의 그릇이라고 일컫는 ‘몸’으로 작업의 주제가 좁혀지는 이유다. 어머니의 사진을 찍었다. 어머니는 유방암으로 인해 절제 수술을 받아 한 쪽 가슴이 없다. 
‘없어진다, 훼손할 수 있다, 떨어져 나간다. ’육체의 훼손은 정신도 훼손 시켰다. 그녀는 여전히 바닥을 걸레질하고, 빨래를 널고, 티브이를 보고, 요리를 한다. 그녀의 별 일 없지 않은 사진과 함께 별 일 없이 사는 사람들의 모습을 전시한다. 그들은 한가로이 수다를 떨고, 담배를 피고, 낮잠을 자고, 버스를 기다린다. 하지만 과연 그것은 진실인가? 우리는 흔히 사진을 ‘사실의 기록 ’이라고 말한다. 이 작품은 사진이 프레이밍을 통해 ‘외부’의 것을 잘라냄으로서 수행하는 프로파간다(우선은이렇게표현하겠다)와 내화면 안에서 사물의 배치와 모델의 표정과 행동을 통해 수행하는 프로파간다를 포착하고 매체의 대표적 성질 자체에 대한 질문을 던진다.",EXHIBITION,Photography,사진,0KZCRVytdzY,이윤경,2016,1,3
Illusionist,Illusionist,"Close your eyes, and you will indulge yourself into the world of fantasy. It is just enough to stretch your own imagination, but with music, it will even amplify.
Music becomes an Illusion and an inspiration to anyone. The beat, rhythm, and melody of the music will allow people to feel like they are in a completely different space at different time. We listen to music to lock ourselves up to another world of ideology. This artwork represents my own planet inspired by ten selected music on the list below. 
The most important factor to express space and time is the color. Ten different colors are respectively assigned to ten pieces. The door to my own space and time opens at the ‘point’ where the colors and my imagination intersect.
Normally, magician refers to the practitioner of magic. However, illusionist is a magician who shows us an illusion and fantasy. 
The magician using illusion as his magic tool - illusionist","보통 사람이 눈을 감고 있으면 또 다른 상상의 나래에 빠지게 된다. 단지 눈을 감고 가만히 있어도 상상의 나래를 펼치기엔 충분하지만, 노래를 듣다보면 그 상상력은 증폭되기 마련이다.
음악은 누구에게나 환상이 되고 영감이 된다. 음악과 노래를 듣다보면 생각나는 또 다른 시공간. 나라는 존재를 다른 이데아에 가두기 위해서 우리는 노래를 감상한다.
시공간을 표현할때 가장 중요한것은 색이다. 음악 한개당 한개의 컬러가 부여되며 컬러와 내 상상력이 만난 바로 그 ‘점’에서 나만의 시공간으로 가는 문이 열린다.
Magician은 일반적인 마술사를 뜻한다. 하지만 Illusionist는 환상을 보여주는 마법사를 뜻한다.
환상을 보여주는 마법사  - Illusionist",EXHIBITION,Graphic Design Art,그래픽 디자인아트,rMzE5J5lc2c,박건우,2016,2,4
Third Person Reverie,Third Person Reverie,"Modern society exploits the individuals. You work, you sleep. And wake up to the morning alarm sound, exhaling your deepest breath. The society forces individuals to go towards earthly goals like wealth and higher social status. Still, we struggle to live our lives every day. And maybe, that’s because we all have our own ideals that gives us hope.
Quitting your daily job and going on a journey. Living on a sailboat and cruising the world. Busking on a random street and breathing among the strangers. All of those deviations are manifestation of ideal value - such as ‘freedom’, ‘courage’, or ’communication’ - breaking through oppressive reality. We wanted to illustrate this relationship between reality and ideal, from third person view.
This installation is called ‘Third Person Reverie’. It recreates the moment where ideal breaks through the reality itself, in a third person view. The visual projected means worldly values that the society forces us to pursue. The shattered glass box means the force that stands between the ideal and the reality. And the flower pot thrown towards the glass box means the ideal of the audience. In addition, the interaction between the installation and the audience makes it possible to draw a real life being that torments the audience into the artwork, so that the audience can be fully immersed into the artwork.","현대 사회는 개인을 착취한다. 피곤한 몸을 이끌고 밤에 잠이 들면 다시 아침의 알람을 들으며 단말마와 같은 탄식을 뱉는다. 현대 사회는 또한, 매일 많은 돈, 높은 지위를 향해 나아가야 한다는 목표를 강요한다. 그런데도 우리가 삶을 살아가는 것은, 반대로 우리에게 희망을 주는, 각자의 고유한 이상적 가치들을 품고 있기 때문이 아닐까.
홀연히 직장을 관두고 세계여행을 떠나는 것. 요트를 사서 여기저기 떠돌며 바다 위에서 사는 것. 길거리에서 공연을 하며 사람들과 함께 숨 쉬는 것. 이러한 일탈에 대한 환상들은 각각 ‘자유’, ‘낭만’, ‘소통’ 등의 이상적 가치가 억압적인 현실을 부수고 나아가는 모습의 발현이다. 우리는 이러한 현실과 이상 사이의 구도를 3인칭의 시점에서 바라보는 작품을 만들고 싶었다.
이 작품의 제목인 Third Person Reverie는 ‘3인칭의 몽상’이라는 의미이다. 그 말처럼, 이 작품은 환상의 갈등 구도에서 한 발짝 떨어져 이상이 현실을 깨버리는 순간을 감상자의 시야 안에 담는다. 투사되는 영상은 사회가 감상자에게 강요하는 속세적 가치를, 유리는 현실과 이상을 가로막는 억압의 힘을, 이들을 향해 던져진 꽃은 감상자의 이상을 상징한다. 거기서 더 나아가, 작품과 감상자 간의 인터랙션을 통해 감상자를 억압하는 현실의 존재를 작품 안으로 끌어들여, 감상자 본인이 작품의 경험 안으로 한 발짝 더 들어올 방법을 제시한다.",EXHIBITION,Installation Media Art,설치 미디어아트,6-o77_S-o_c,"최재원,정종민",2016,3,8
Escapism,Escapism,"escapism [ih-skey-piz-uh m]
noun : the avoidance of reality by absorption of the mind in entertainment or in an imaginative situation, activity, etc.
Like machine, the world of capitalism and modernism getting ground of the human spirit asks us to live efficient lives. The bridle of routines of getting up, having meals, working, taking rests and sleeping come to us as a shackle. In the capitalistic society that values efficiency the most, we are evaluated and categorized by our abiltities just like the pork. The A-ranked pork gets higher rewards for their superior abilities. However, in front of the bridle of routines, even the pork merely becomes a slave of life, which our society considers to be a ‘virtue.’  
Then the inferior pork aspires. Aspiration towards the superioirty. And the aspiration towards the accompanied rewards. They are dreaming. And that dream is so sweet enough to make them forget the E-ranked stamp on thir bodies. What the true happiness is now being eroded. However, the A-ranked pork also are dreaming. The rewards followed by their superiority is sweet and boastful, but they still lack something. Yes, they are just the pork at last, a chunk of meat trapped by the face of mundane routines. What he has believed to be a ‘dream’ or ‘hope’ was just a fake, and there is no true self existing. There only left the pork with good abilities in his work. 
Everyone tries to escape to the ‘dream.’ For the better abilities, to be a free bird.","도피 [escape, 逃避]
고통스러운 상황에 부딪쳤을 때, 이를 피하려 하거나 적응하기 힘든 상황을 피하여 불안에서 벗어나려고 하는 심리적 반응.
자본주의와 모더니즘이 인간의 정신까지 잠식한 이 세상은 우리에게 기계처럼 효율적인 삶을 사는 것을 요구한다. 기상, 식사, 노동, 휴식, 수면의 일상의 굴레는 우리에게 하나의 족쇄로 다가온다. 효율성이 가장 중요시되는 자본주의 사회에서 우리는 능력에 따라 평가받고, 분류된다. 마치 돼지고기처럼. 그리고 높은 등급, A등급 돼지고기들은 그 우등한 능력에 따른 더 큰 보상을 받는다. 하지만 그 돼지고기들도 일상의 굴레 앞에선 하나의 노예일 뿐. 우리 사회는 이 광경을 하나의 ‘미덕’으로 여긴다. 
그리고 열등한 돼지고기들은 열망한다. 우월한 능력에 대한 열망. 그리고 그에 따르는 보상에 대한 열망. 그들은 꿈을 꾼다. 그 꿈은 너무나도 달콤하다. 몸뚱어리에 찍힌 E등급은 잊힌다. 이것이 행복인가. 
하지만 A등급 돼지고기들도 꿈을 꾼다. 자신의 우월함에 따라오는 보상은 달콤하고 자랑스럽지만, 그런데도 뭔가 부족하다. 뭔가 결핍된 것 같다. 그렇다. 결국은 돼지고기일 뿐, 일상의 굴레 속에 갇힌 고깃덩이일 뿐이다. 그가 그렇게 믿어온 자신의 ‘꿈'과 ‘희망'도 결국은 짝퉁일 뿐. 진짜 자아는 없다. 일 잘하는 멋진 돼지고기밖에 없다. 
모두들 ‘꿈’으로 도망치려 한다. 우월한 능력을 위해, 자유로운 새가 되기 위해.",EXHIBITION,Media Art,미디어아트,nebdIK6CyQQ,"정종민,최재원",2016,4,4
Read-Y-Made,Read-Y-Made,"So-called Ready-Made artworks, one of the genres of the modern arts,  refer to the objects which have gone through the process of distinct meaning making unlike the original purpose of its practicality as an article. The attractive part of this ready-made artworks are they often arise from the familiar objects in our daily lives. It makes the normal audience appreciating at the work to have a fantasy and dream that they also can be an artist. Based on this concept, I would like to make a few ready-made artworks of my own. And this will make the visitors to encounter my artworks easily. After appreciating my works, then I will make them to read ‘Why I made these.’ Read Why I made. I want to shape fantasy that arts remain so close to all of us, and anyone including myself is also able to create. The fantasy that might be a sweet dream, or just an useless daydream without any possibility. If you appreciated my works, then please read why I made the artworks. And make yourself be part of this work. Read-Y-Made.","흔히들 레디 메이드 작품이라고 불리는 것들은 현대 미술에서 오브제의 장르 중 하나로서 실용성으로 만들어진 기성품에 최초의 목적과 다른 별개의 의미를 부여한 것들을 말한다. 레디 메이드 작품은 실생활에서 찾아볼 수 있는 익숙한 물건들에서 발생한다는 점이 매력적으로 다가온다. 해당 작품을 보는 사람들로 하여금 자신도 얼마든지 예술 작품을 만들어낼 수 있을 것이라는, 꿈과 환상을 가지게 해준다. 나는 이 점에 착안해서 몇 가지 레디 메이드 작품들을 만들고자 한다. 그리고 방문객들로 하여금 쉽게 내 작품을 접할 수 있도록 할 것이다. 그리고 내 작품을 모두 감상했다면, 꼭 ‘내가 왜 이 것을 만들었는지’를 읽게 할 것이다. Read why I made. 나는 그들에게 예술이라는 것이 어려운 것이 아니며 자신도 충분히 행할 수 있는, 우리 모두에게 한 없이 가까운 것이라는 환상을 심어주고 싶다. 달콤한 꿈일 수도, 가능성 없는 헛된 공상일 수도 있는 그런 환상을. 만약 당신이 나의 작품을 보았다면, 내가 왜 이 작품을 만들게 되었는지 읽어 보라. 그리고 그대도 이 작품의 일부가 되어라. Read-Y-Made.",EXHIBITION,Installation,설치,5CZtjHELlP4,구자민,2016,5,9
"Graphic, Self, Weight",그래픽 자아 무게,"《Graphic, Self, Weight》, realized in the mixed form of design pieces and installation, invites visitors into the world of the artist who is just beginning to set foot in the realm of design and visual art. It delves into his ponderings, development and prospect as an artist. 
This exhibition tried to take a different perspective on design elements; stating from the very personal space of the artist and opening up to the casual wider environment where the elements give – like artworks- a gentle touch to sensual organs. The re-interpretational work include posters, signs, labels, goods and begins to tell the story of its own. After taking a breath, the artist tries to share few pieces of writing along with them that carries the weight of himself or other designers who tries to imbue meaning into the making processes. 
The exhibition says its farewell with a graphic poster, a design kit and a toned-down installation piece that again reflects on the artist’s philosophy.","2016 ATC 전시를 위해 기획되는 이번 작품 《그래픽, 자아, 무게》 는 디자인과 시각 예술을 기반으로 성장하려고 하는 작가의 진지한 성찰과 발전, 미래 모습을 그려보기 위해 진행되는 전시이다. 작가 본인에게 디자인과 예술이란 세상에 대한 깊은 관심으로부터 시작된다.
누군가의 관계 속에서 얻는 디자인과 누군가의 관계 안에서 의미를 가지는 디자인에 대한 성찰과 무게감, 그것을 만드는 사람으로서의 책임감을 무의식적으로 가지고 살아가는 디자인-사람, 디자이너라는 존재를 보여주고 나누며 그의 미래에 대해 함께 고민해보고자 하는 것이 이번 작품의 기획의도이다.
이번 전시에서는 작가의 지극히 개인적인 공간에서부터 조금씩 확장하여, 작가의 일상에서 맞이하는 –마치 예술 작품과도 같은- 디자인적 요소들이 다가오는 모습을 포착하여 (작가의 시점이라는) 새로운 시선으로 바라본다. 이같은 재해석은 포스터와 사인, 레이블, 굿즈 등 일상적인 요소에서부터 시작하여 작가의  작품이 진행되는 모습, 발전하는 모습으로 진행되며 이 과정에서 작가는 스스로의 이야기를 풀어내기 시작한다. 이렇게 숨을 고르며 작가의 이야기를 들은 이후에는, 작가 개인, 혹은 ‘생각하는’ 디자이너 전체가 짊어지고 있을 고민과 성찰에 대해 글과 시각적 이미지를 통해 함께 호흡해 보려한다.
마지막으로, 작품의 말미에서는 포스터와 그래픽 작품 1개 그리고 작가의 디자인 철학을 담은 디자인 킷(design kit) 1세트와 연출된 빛(lighting)을 보는 것으로 이번 전시의 대단원을 내린다.",EXHIBITION,Design Installation,디자인 설치,3ywGFRa3BL8,김지수,2016,6,9
The Hanging Garden,공중정원,"The Hanging Garden of Babylon known to be built in the 6th century B.C., leaves doubts to many people in the present world. There is no definitive records about the Hanging Garden. ‘Beyond the ecological limitation of the technology of the time to grow a grand-scale magnificent garden’, its tale itself causes deduction, adding the fantasy or illusion through the added information. Someone is searching for the reasons of this uncertain fact to lessen the weight of the oblivion.
Imaginations The Hanging Garden left to me, 
The uncertainty of the existence, and the uncertainty of the vestiges by the existence are the illusions.
The negative illusion full of pain and conspiracy and the beautiful, lovely fantasy are different from each other, but the idea of similarity that these two abstractions both attract people made me to express this as an abstractive installation arts.","기원전 6세기경 건설되었다 알려진 바빌론 공중정원은 현세의 많은 이들에게 의아함을 남긴다. 공중정원에 관한 명확한 기록은 존재하지 않는다. ‘당대의 기술력으로 생태학적인 한계를 넘어 엄청난 규모의 화려한 정원을 가꾼 것’, 그 자체가 추정을 낳고, 덧대어진 정보들로 환상 혹은 망각을 더해간다. 누군가는 그 망각의 무게를 덜어보려 불확실한 사실의 근거를 찾아나간다.
공중정원이 내게 주는 상상들,
존재의 불확실함, 그리고 존재가 남긴 흔적의 불확실함은 환상,
고통과 음모가 가득한 부정적인 느낌의 환상과 아름답고 사랑스러운 환상은 서로 다르지만 애당초 추상으로써 묘하게 끌린다는 점에선 다르지 않다는 생각을 추상의 설치 작품으로 표현하고자 했다.",EXHIBITION,Installation,설치,1thcWdyfOpk,이정민,2016,7,8
Pandora's Box,판도라의 상자,"Fantasy is a hope, or poison, which makes it even more attractive. The flowers are attractive. See the duality of flower, flaunting it's beautiful image, turning into unsightly figure. In the place filled with flowers, meet the duality of your existence in this space occupied with the duality.
Find the Pandora's box in the garden of fantasy before your eyes. What is in the secret of box? We'll look forward to your imagination.","환상은 희망, 혹은 독이다. 그래서 더욱 매력적인 존재이다. 꽃은 매혹적이다. 한없이 아름다운 모습을 뽐내다 보기 싫은 존재로 시들어버리는 이중성을 지니고 있다. 그래서 공간을 꽃으로 가득채웠다. 이중성을 지닌 존재가 차지한 이 공간에서 당신의 이중성을 만나보기를. 당신의 눈앞에 펼쳐진 환상의 정원에서 숨겨진 판도라의 상자를 찾아보세요. 상자 속에는 무엇이 있을까요. 당신의 환상을 기대합니다.",EXHIBITION,Installation,설치,IcQqyElVi00,"안채은,오승은",2016,8,8
Cloud,구름,"The main point of the work is the unawareness of the main agent in this interactive art about the change they arouse. In fact, it is hard to assign individuality to the effects the audience make, since the process of the work which draws the direct participation from the audience often remains as a continuous facing of oeuvres called by others. <Cloud> is also a participatory interactive art, however, it chooses the form of disconnection in its effect unlike other existing artworks by making the audience to ruin the screening video art just by their existence. By breaking the ‘context’ and ‘expectation’ that interactive arts have in this manner, it was possible to explore the new meaning of interactive art and to resolve the solitude of an individual who does not share the social context as its topic.
[Cloud] is a story about the infinite possibilities one can achieve at the expense of solitude and disconnection. As ‘Finding my own blind spot’ by Inhwan-Oh, who was awarded as Artist of the Year, put an emphasis on the importance of cultural blind spot in the modern world, we would like to cast  a light upon the cost we need to pay to form these cultural blind spots. The cost might be the lonely sense of solitude and disconnection, or might be the anxiety presented in life. The question is, about people’s attitude towards life to confine the dischord from these conflicts of values just to the word ‘Illusion.’ ","인터렉티브 아트를 관람하는 주체가 본인이 발생시킨 변화를 관람할 수 없는 작품을 만들고 싶었다. 사실 작품에 관람객이 직접 참여하는 참여형 작품의 프로세스는 타인이 이미 불러온 작품세계의 재현을 끊임없이 마주하는 것에 불과하며 본인이 직접 일으킨 효과에 대한 개성은 부여되기 어렵다. 그러나 작품 [구름]은 참여형 인터렉티브 아트 이지만, 기존의 작품들과는 반대로 효과의 방식이 작품에 참여하는 관객의 존재로 인해 상영되고 있는 영상이 뭉개지는 단절의 형식을 취한다. 이러한 방식으로 인터렉티브 아트만이 갖는 ‘맥락’과 ‘기대’를 깨버림으로써, 인터렉티브 아트만이 할 수 있는 새로운 의미를 탐색할 수 있었고 사회의 맥락을 공유하지 못하는 한 개인의 고독에 대한 주제로 풀어나갈 수 있었다. 
작품 [구름]은 고립, 단절 등을 대가로 개인이 성취할 수 있는 무궁무진한 가능성에 관한 이야기이다. 작년 올해의 작가상을 받은 오인환 작가가 ‘나만의 사각지대 찾기’라는 작품을 통해 문화적 사각지대의 중요성을 역설함에 이어서 우리는 [구름]을 통해서 문화적 사각지대의 형성을 위해 치러야 하는 대가에 대해 조명해보고자 했다. 그 대가가 고립, 단절과 같은 외로움의 정서일 수도, 혹은 삶 속에 편재한 불안 일 수도 있다. 이러한 가치의 대립이 빚어내는 불협화음을 ‘환상’이라는 단어 속에 가두어 삶을 바라보는 태도에 대한 물음을 던지고자 한다.",EXHIBITION,Interactive Installation Media Art,인터렉티브 설치 미디어 아트,103vkKouj9Q,"김동호,김시준,김우식,박예빈,서영진",2016,9,12
Merry-Go-Round,메리고라운드,"Amusement park is a place of joy and happiness. When you were young, you had bright and fabulous experience in the amusement park, putting behind the tiredness and monotony of daily life. However, as you grow up, a fabulous place full of fantasy just becomes a little shabby and manmade place. The amusement park now, is not the same place as the time when you were young. The place become alive as it brings about your childhood and at the same time it saves your childhood memory in frozen state. Merry-go-round is an artwork which has eight walls layered by wood, centering audience. A person coming into the artwork can see the wooden siluette of the amusement park and he or she thinks about one's past and the liveness of past amusement park. Ironically, when a person enjoys beautiful work, he or she ruminates present himself/herself. Merry-go-round provides people the joyful illusion apart from the outside world, but also umpleasant feeling. It makes people stands on the line between illusion and reality. The space is a beautiful whole new world, but is not any different from the world where we live.Sorrow will be left on the space after  people go out of Merry-go-round.  We left the past of humane illusion and will go forth.","놀이공원은 환상과 기쁨의 장소다. 어릴 적의 우리는 놀이공원에서 일상의 무료함과 고단함은 잠시 내려놓은 채 짜릿하거나 화려한 경험을 한 적이 있을 것이다. 하지만 점차 어른이 되어감에 따라, 어릴 적의 커다랗고 화려하게만 느껴졌던 놀이공원이 사실은 생각보다 초라하고 만들어진 공간임을 느낀다. 현재의 놀이공원은 더 이상 그때 그 공간이 아니다. 하지만 동시에 그곳은 어렸던 우리들의 추억을 냉동시킨 채 보전하고 있으며,  ‘어린 우리’를 불러옴으로써 생명력을 얻는다.
메리고라운드는 관람객이 들어와 중심에 서서 감상하는, 8각 기둥 형태로 세워진 여러 겹의 나무 벽으로 이루어진 조형물이다. 작품 안으로 입장한 관람객은 나무로 재현된 놀이공원의 형태를 감상하면서 과거의 자신과 과거의 유원지가 주는 활기를 떠올리게 된다. 아이러니하게도 즐겁고 환상적인 조형들을 보며 느끼는 것은 현재 자신의 모습에 대한 반추다. 
메리고라운드는 외부와 잠시 단절될 수 있는 환상적인 닫힌 공간을 제공하는 듯하지만 동시에 불쾌함도 느끼게 하는 공간이며, 관객으로 하여금 환상과 현실 사이의 중간 어딘가에 위태롭게 서 있는 느낌을 갖게 한다. 이 공간은 전혀 새로운 아름다운 세계이기도 하면서, 우리가 살고 있는 세상과 별반 다르지 않다는 절망감 또한 전달한다.
관객이 다시 한 번 문을 나서며 메리고라운드 안에 남겨두고 오는 것은 우리들의 슬픔이다. 우리는 가장 인간적인 환상을 떠나와 미래로, 미래로 간다.",EXHIBITION,Installation,설치,2ha3hXOwtBY,"이다영,최하은",2016,10,5
